source_number,source_symptom,status,priority,book_chapter,chapter_file,mapping_confidence
258,Mucus Plug,uncovered,low,,,
259,Muehrcke Lines,uncovered,low,,,
260,Muscle Stiffness,uncovered,medium,,,
261,Muscle Weakness,uncovered,high,,,
262,Musculoskeletal Chest Pain,uncovered,high,,,
263,Musculoskeletal Pain,uncovered,medium,,,
264,Myalgia (Muscle Pain),uncovered,medium,,,
265,Myoclonus (Muscle Twitch),dedicated,medium,Myoclonus,chapters/symptom_myoclonus.tex,high
266,Nail Clubbing,dedicated,low,Nail Clubbing,chapters/symptom_nail_clubbing.tex,high
267,Nail Pitting,uncovered,low,,,
268,Nasal Obstruction,dedicated,low,Nasal Obstruction,chapters/symptom_nasal_obstruction.tex,high
269,Natal Teeth,uncovered,low,,,
270,Nausea,dedicated,medium,Nausea,chapters/symptom_nausea.tex,high
271,Neck Pain,dedicated,medium,Neck Pain,chapters/symptom_neck_pain.tex,high
272,Neurodivergent,uncovered,low,,,
273,Night Blindness (Nyctalopia),uncovered,low,,,
274,Night Sweats,dedicated,medium,Night Sweats,chapters/symptom_night_sweats.tex,high
275,Nipple Discharge,dedicated,medium,Nipple Discharge,chapters/symptom_nipple_discharge.tex,high
276,"Nipple Pain, Itching & Rashes: Could It Be a Nipple Yeast Infection?",uncovered,medium,,,
277,Nitrite-Positive Urine,uncovered,low,,,
278,Nociceptive Pain,uncovered,medium,,,
279,Nosebleeds While Pregnant,uncovered,low,,,
280,Numbness,dedicated,medium,Numbness,chapters/symptom_numbness.tex,high
281,Numbness in Hands,uncovered,medium,,,
282,Odynophagia (Painful Swallowing),dedicated,medium,Odynophagia,chapters/symptom_odynophagia.tex,high
283,Oligomenorrhea,uncovered,low,,,
284,Opisthotonos,uncovered,low,,,
285,Orbital Hypertelorism,uncovered,low,,,
286,Orthopnea,uncovered,low,,,
287,Oscillopsia,uncovered,low,,,
288,Ovary Pain,uncovered,medium,,,
289,Pain on Outside of Knee (Lateral Knee Pain),uncovered,medium,,,
290,Palinopsia,uncovered,low,,,
291,Paranoia,uncovered,low,,,
292,Paraplegia,uncovered,low,,,
293,Paresthesia,uncovered,low,,,
294,Paroxysmal Cough,uncovered,medium,,,
295,Paroxysmal Nocturnal Dyspnea (PND),uncovered,high,,,
296,Peeling Skin,dedicated,low,Peeling Skin,chapters/symptom_peeling_skin.tex,high
297,Pelvic Pain,dedicated,medium,Pelvic Pain,chapters/symptom_pelvic_pain.tex,high
298,Petechiae,dedicated,low,Petechiae,chapters/symptom_petechiae.tex,high
299,Phosphenes,uncovered,low,,,
300,Photophobia,dedicated,low,Photophobia (Light Sensitivity),chapters/symptom_photophobia.tex,high
301,Photopsias (Eye Flashes),uncovered,low,,,
302,Photosensitivity,uncovered,low,,,
303,Pill-Rolling Tremor,uncovered,low,,,
304,Pimple on Penis,uncovered,low,,,
305,Pink Breast Milk,uncovered,low,,,
306,Pitting Edema,uncovered,low,,,
307,Polydipsia,dedicated,low,Polydipsia,chapters/symptom_polydipsia.tex,high
308,Polyphagia (Hyperphagia),uncovered,low,,,
309,Postpartum Night Sweats,uncovered,medium,,,
310,Prodromal Labor,uncovered,low,,,
311,Protein in Urine (Proteinuria),dedicated,low,Protein in Urine (Proteinuria),chapters/symptom_protein_in_urine.tex,high
312,Psychogenic Pain,uncovered,medium,,,
313,Psychomotor Impairment,uncovered,low,,,
314,Psychosis,uncovered,low,,,
315,Pulseless Electrical Activity,uncovered,high,,,
316,Pulsus Paradoxus,uncovered,low,,,
317,Purpura,dedicated,low,Purpura,chapters/symptom_purpura.tex,high
318,Purulent Drainage,uncovered,low,,,
319,Pus,uncovered,low,,,
320,Quadriplegia,uncovered,low,,,
321,Quickening in Pregnancy,uncovered,high,,,
322,Raccoon Eyes,uncovered,low,,,
323,Rectal Bleeding (Blood in Stool),dedicated,high,Rectal Bleeding,chapters/symptom_rectal_bleeding.tex,high
324,Red Eye,dedicated,low,Red Eye,chapters/symptom_red_eye.tex,high
325,Referred Pain,uncovered,medium,,,
326,Regurgitation,dedicated,low,Regurgitation,chapters/symptom_regurgitation.tex,high
327,Renal Colic,uncovered,low,,,
328,Rheumatoid Nodules,uncovered,low,,,
329,Rhinorrhea (Runny Nose),alias/subsection,medium,Runny Nose (Rhinorrhea),chapters/symptom_runny_nose.tex,high
330,Ridges in Nails,uncovered,low,,,
331,Right Atrial Enlargement,uncovered,low,,,
332,Right Side Abdominal Pain,uncovered,high,,,
333,Right-Side Chest Pain,uncovered,high,,,
334,Risus Sardonicus,uncovered,low,,,
335,Roth Spots,uncovered,low,,,
336,Round Ligament Pain,uncovered,medium,,,
337,Scalloped Tongue,uncovered,low,,,
338,Scintillating Scotoma,uncovered,low,,,
339,Scleral Icterus,uncovered,low,,,
340,Second-Degree Burn,uncovered,low,,,
341,Self-Loathing,uncovered,low,,,
342,Sensitive Teeth,uncovered,low,,,
343,Serous Drainage,uncovered,low,,,
344,Shoulder Pain,dedicated,medium,Shoulder Pain,chapters/symptom_shoulder_pain.tex,high
345,Signs of Premature Aging,uncovered,low,,,
346,Sinus Pressure,uncovered,low,,,
347,Sister Mary Joseph Nodule (SMJN),uncovered,low,,,
348,Skin Discoloration,uncovered,low,,,
349,Skin Flushing,uncovered,low,,,
350,Smelly Scalp,uncovered,low,,,
351,Sneezing,dedicated,low,Sneezing,chapters/symptom_sneezing.tex,high
352,Somatic Pain,uncovered,medium,,,
353,Somnolence (Drowsiness),uncovered,low,,,
354,Sore Nipples,uncovered,low,,,
355,Sore Throat and Headache,dedicated,high,Sore Throat and Headache,chapters/symptom_sore_throat_and_headache.tex,high
356,Spasticity,dedicated,low,Spasticity,chapters/symptom_spasticity.tex,high
357,Steatorrhea,dedicated,low,Steatorrhea,chapters/symptom_steatorrhea.tex,high
358,Stiff Neck,uncovered,low,,,
359,Strawberry Tongue,uncovered,low,,,
360,Sudden Vision Loss,dedicated,high,Sudden Vision Loss,chapters/symptom_sudden_vision_loss.tex,high
361,Suicidal Ideation (Suicidal Thoughts),dedicated,low,Suicidal Ideation,chapters/symptom_suicidal_ideation.tex,high
362,Swollen Anus,uncovered,low,,,
363,Swollen Knee,uncovered,low,,,
364,Swollen Lymph Nodes,dedicated,low,Swollen Lymph Nodes,chapters/symptom_swollen_lymph_nodes.tex,high
365,Swollen Lymph Nodes in the Neck (Cervical Lymphadenopathy),uncovered,low,,,
366,Swollen Testicles (Scrotal Swelling),alias/subsection,medium,Swollen or Painful Testicle,chapters/symptom_swollen_or_painful_testicle.tex,high
367,Synesthesia,uncovered,low,,,
368,Tachypnea,dedicated,low,Tachypnea,chapters/symptom_tachypnea.tex,high
369,Tenesmus,uncovered,low,,,
370,Terminal Agitation,uncovered,low,,,
371,Terminal lucidity,uncovered,low,,,
372,Terry's Nails,uncovered,low,,,
373,Testicular Pain,dedicated,medium,Testicular Pain (Orchalgia),chapters/symptom_testicular_pain.tex,high
374,Tetany,dedicated,low,Tetany,chapters/symptom_tetany.tex,high
375,Third-Degree Burn,uncovered,low,,,
376,Throwing Up (Vomiting) Bile,uncovered,medium,,,
377,Thunderclap Headaches,alias/subsection,high,Thunderclap Headache,chapters/symptom_thunderclap_headache.tex,high
378,Tinnitus,dedicated,low,Tinnitus (Ringing in the Ears),chapters/symptom_tinnitus.tex,high
379,Tongue Color,uncovered,low,,,
380,Tooth Discoloration,uncovered,low,,,
381,Transaminitis,uncovered,low,,,
382,Translucent Teeth,uncovered,low,,,
383,Tremor,alias/subsection,low,Tremors,chapters/symptom_tremors.tex,high
384,Tremors in Infant Legs,uncovered,low,,,
385,Tunnel Vision,uncovered,medium,,,
386,Ulnar Wrist Pain,uncovered,medium,,,
387,Unexplained Weight Gain,uncovered,low,,,
388,Unexplained Weight Loss,uncovered,medium,,,
389,Upper Abdominal Pain,dedicated,high,Upper Abdominal Pain,chapters/symptom_upper_abdominal_pain.tex,high
390,Upper Back Pain,uncovered,medium,,,
391,Uremic Pruritus,uncovered,low,,,
392,Urinary Urgency,dedicated,medium,Urinary Urgency,chapters/symptom_urinary_urgency.tex,high
393,Vaginal Bleeding,dedicated,medium,Vaginal Bleeding,chapters/symptom_vaginal_bleeding.tex,high
394,Vaginal Discharge,dedicated,medium,Vaginal Discharge,chapters/symptom_vaginal_discharge.tex,high
395,Vaginal Dryness,dedicated,low,Vaginal Dryness,chapters/symptom_vaginal_dryness.tex,high
396,Vaginal Gas,uncovered,low,,,
397,Vaginal Odor,dedicated,low,Vaginal Odor,chapters/symptom_vaginal_odor.tex,high
398,Vasoconstriction,uncovered,low,,,
399,Vertigo,dedicated,low,Vertigo,chapters/symptom_vertigo.tex,high
400,Visceral Pain,uncovered,medium,,,
401,Visual Field Defects,uncovered,low,,,
402,Vomiting (Emesis),alias/subsection,medium,Vomiting and Nausea,chapters/symptom_vomiting_and_nausea.tex,high
403,Vomiting Blood,alias/subsection,high,Hematemesis (Vomiting Blood),chapters/symptom_hematemesis.tex,high
404,Water Brash,uncovered,medium,,,
405,Water Breaking,uncovered,low,,,
406,Wheezing,dedicated,low,Wheezing,chapters/symptom_wheezing.tex,high
407,White Spots on Nails (Leukonychia),uncovered,low,,,
408,White Tongue,dedicated,low,White Tongue,chapters/symptom_white_tongue.tex,high
409,Withdrawal Bleeding,uncovered,medium,,,
410,Wrist Pain,dedicated,medium,Wrist Pain,chapters/symptom_wrist_pain.tex,high
411,Yellow Semen,uncovered,low,,,
